id,name,date,altitude,speed
1,E-0,17-Feb-05,,
2,E-1,9-Mar-05,504,
3,E-2,14-Jul-05,172,8.2
4,E-3,12-Mar-08,52,14.4
5,E-4,11-Aug-08,50,17.7
6,E-5,9-Oct-08,25,17.7
7,E-6,31-Oct-08,197,17.7
8,E-7,2-Nov-09,103,7.7
9,E-8,21-Nov-09,1606,7.7
10,E-9,28-Apr-10,100,6.5
11,E-10,18-May-10,438,6.5
12,E-11,13-Aug-10,2502,6.8
13,E-12,30-Nov-10,47.9,6.3
14,E-13,21-Dec-10,47.8,6.2
15,E-14,1-Oct-11,99,7.4
16,E-15,19-Oct-11,1231,7.4
17,E-16,6-Nov-11,496,7.4
18,E-17,27-Mar-12,74,7.5
19,E-18,14-Apr-12,74,7.5
20,E-19,2-May-12,74,7.5
21,E-20,14-Oct-15,1839,8.5
22,E-21,28-Oct-15,49,8.5
23,E-22,19-Dec-15,4999,9.5
